"","city","word","n","total","rank","term frequency"
"1","Boston","food",59476,690688,1,0.0861112398072646
"2","Boston","pretty",17466,690688,2,0.0252878289473684
"3","Boston","friendly",17052,690688,3,0.0246884266123054
"4","Boston","love",15761,690688,4,0.0228192758524833
"5","Boston","sweet",14278,690688,5,0.0206721414010378
"6","Boston","service",14229,690688,6,0.0206011976464047
"7","Boston","perfect",12477,690688,7,0.018064596460341
"8","Boston","delicious",11367,690688,8,0.0164575032431431
"9","Boston","friend",10967,690688,9,0.0158783705522609
"10","Boston","time",10967,690688,10,0.0158783705522609
"11","Boston","bad",10580,690688,11,0.0153180596738325
"12","Boston","wait",9865,690688,12,0.0142828599888807
"13","Boston","excellent",8582,690688,13,0.0124252918828762
"14","Boston","favorite",7834,690688,14,0.0113423137509266
"15","Boston","disappoint",7424,690688,15,0.0107487027427724
"16","Boston","finally",6915,690688,16,0.0100117563936249
"17","Boston","drink",6460,690688,17,0.00935299295774648
"18","Boston","wonderful",6387,690688,18,0.00924730124166049
"19","Boston","experience",6214,690688,19,0.00899682635285397
"20","Boston","feel",5936,690688,20,0.00859432913269088
"21","Boston","top",5890,690688,21,0.00852772887323944
"22","Boston","chicken",5874,690688,22,0.00850456356560415
"23","Boston","enjoy",5856,690688,23,0.00847850259451446
"24","Boston","happy",5696,690688,24,0.0082468495181616
"25","Boston","lovely",5630,690688,25,0.00815129262416605
"26","Boston","cream",5544,690688,26,0.00802677909562639
"27","Boston","expect",5472,690688,27,0.00792253521126761
"28","Boston","chocolate",5397,690688,28,0.00781394783172721
"29","Boston","recommend",5306,690688,29,0.00768219514455152
"30","Boston","star",5022,690688,30,0.0072710109340252
"31","Boston","wine",4974,690688,31,0.00720151501111935
"32","Boston","fun",4894,690688,32,0.00708568847294292
"33","Boston","excite",4776,690688,33,0.00691484432913269
"34","Boston","money",4455,690688,34,0.00645009034469978
"35","Boston","treat",3888,690688,35,0.00562916975537435
"36","Boston","find",3882,690688,36,0.00562048276501112
"37","Boston","super",3846,690688,37,0.00556836082283173
"38","Boston","share",3688,690688,38,0.00533960340993328
"39","Boston","birthday",3546,690688,39,0.00513401130467013
"40","Boston","yelp",3381,690688,40,0.00489511906968125
"41","Boston","pleasant",3256,690688,41,0.00471414010378058
"42","Boston","hot",3178,690688,42,0.00460120922905856
"43","Boston","lamb",3160,690688,43,0.00457514825796887
"44","Boston","perfection",3124,690688,44,0.00452302631578947
"45","Boston","special",3123,690688,45,0.00452157848406227
"46","Boston","unique",3078,690688,46,0.00445642605633803
"47","Boston","music",3044,690688,47,0.00440719977761305
"48","Boston","deal",3005,690688,48,0.00435073434025204
"49","Boston","beer",2980,690688,49,0.0043145385470719
"50","Boston","start",2942,690688,50,0.0042595209414381
"51","Boston","tender",2920,690688,51,0.00422766864343958
